STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,35,Other assault (035),Number,548
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,4,Dangerous or negligent acts (04),Number,680
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,411,Dangerous driving causing serious bodily harm (0411),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,0412_13,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",Number,665
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,412,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,660
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,413,Driving/in charge of a vehicle under the influence of drugs (0413),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,421,Endangerment with potential for serious harm/death (0421),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,422,"Abandoning a child, child neglect and cruelty (0422)",Number,7
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,423,Unseaworthy/dangerous use of boat or ship (0423),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,424,False alarm/interference with aircraft or air transport facilities (0424),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,425,Endangering traffic offences (0425),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,5,Kidnapping and related offences (05),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,511,False imprisonment (0511),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,512,Abduction of person under 16 years of age (0512),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,513,Human trafficking offences (0513),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,6,"Robbery, extortion and hijacking offences (06)",Number,48
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,611,Robbery of an establishment or institution (0611),Number,16
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,612,Robbery of cash or goods in transit (0612),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,613,Robbery from the person (0613),Number,30
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,621,Blackmail or extortion (0621),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,631,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,7,Burglary and related offences (07),Number,856
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,711,Aggravated burglary (0711),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,712,Burglary (not aggravated) (0712),Number,851
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,713,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,3
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,8,Theft and related offences (08),Number,2358
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,81,Theft/taking of vehicle and related offences (081),Number,410
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,821,Theft from person (0821),Number,134
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,822,Theft from shop (0822),Number,513
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,84,"Other thefts, handling stolen property (084)",Number,1301
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,9,"Fraud, deception and related offences (09)",Number,194
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,10,Controlled drug offences (10),Number,239
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1011,Importation of drugs (1011),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1012,Cultivation or manufacture of drugs (1012),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1021,Possession of drugs for sale or supply (1021),Number,59
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1022,Possession of drugs for personal use (1022),Number,163
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,103,Other drug offences (103),Number,11
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,11,Weapons and explosives offences (11),Number,65
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,111,"Explosives, chemical weapons offences (111)",Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1121,Discharging a firearm (1121),Number,7
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1122,Possession of a firearm (1122),Number,25
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,113,Offensive weapons offences (n.e.c.) (113),Number,33
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,114,Fireworks offences (114),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,12,Damage to property and to the environment  offences (12),Number,1554
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1211,Arson (1211),Number,68
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1212,Criminal damage (not arson) (1212),Number,1482
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1221,Litter offences (1221),Number,4
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,13,Public order and other social code offences (13),Number,1729
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,131,Disorderly conduct (131),Number,1437
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,132,Trespass offences (132),Number,32
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,133,Liquor licensing offences (133),Number,229
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,134,Prostitution offences (134),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,135,"Regulated betting/money, collection/trading offences (135)",Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,136,Social code offences (n.e.c.) (136),Number,29
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,15,"Offences against government, justice procedures and organisation of crime (15)",Number,168
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,151,Offences against government and its agents (151),Number,8
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,152,Organisation of crime and conspiracy to commit crime (152),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,153,Perverting the course of justice (153),Number,9
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,157,"Offences while in custody, breach of court orders (157)",Number,150
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,1,Homicide & related offences (01),Number,8
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,111,Murder (0111),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,112,Manslaughter (0112),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,113,Infanticide (0113),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,12,Dangerous driving leading to death (012),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,2,Sexual offences (02),Number,148
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,21,Rape and sexual assault (021),Number,141
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,22,Other sexual offences (022),Number,7
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,3,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,778
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,311,Murder-attempt (0311),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,313,Threat to kill or cause serious harm  (0313 ),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,33,Harassment and related offences (033),Number,81
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,34,"Assault causing harm, poisoning (034)",Number,233
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,35,Other assault (035),Number,463
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,4,Dangerous or negligent acts (04),Number,716
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,411,Dangerous driving causing serious bodily harm (0411),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,0412_13,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",Number,689
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,412,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,684
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,413,Driving/in charge of a vehicle under the influence of drugs (0413),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,421,Endangerment with potential for serious harm/death (0421),Number,4
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,422,"Abandoning a child, child neglect and cruelty (0422)",Number,12
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,423,Unseaworthy/dangerous use of boat or ship (0423),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,424,False alarm/interference with aircraft or air transport facilities (0424),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,425,Endangering traffic offences (0425),Number,10
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,5,Kidnapping and related offences (05),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,511,False imprisonment (0511),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,512,Abduction of person under 16 years of age (0512),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,513,Human trafficking offences (0513),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,6,"Robbery, extortion and hijacking offences (06)",Number,90
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,611,Robbery of an establishment or institution (0611),Number,44
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,612,Robbery of cash or goods in transit (0612),Number,4
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,613,Robbery from the person (0613),Number,41
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,621,Blackmail or extortion (0621),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,30,30 Eastern Region,631,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,1
